text,label
"Apartemen Westmark, Jl. Tanjung Duren Selatan", 1
"Jl. Tampak Siring Blok KJ No. 9-12", 1
"Central Park Shop Units TL. 1, Jl. Letjen. S. ParmN", 1
"Jl. Letjen. S.Parman Kav.28", 1
"Carrefour Puri Indah, Jl. Puri Agung Puri Indah", 1
"Central Park, Jl. Letjen.S.Parman Kav. 28", 1
"Mal Ciputra, Jl. Letjen.S.Parman Lt. LG Unit 01&05", 1
"Komp. Ruko Citra Niaga Blok B No. 6, Jl. Utan Jati, Pegadungan", 1
"Komp. DPR RI, Jl. Kemanggisan Raya Blok B-3 C", 1
"Hayam Wuruk Plaza, Jl. Hayam Wuruk No. 108", 1
"Komp. Mutiara Taman Palem City View Blok A5", 1
"Jl. Letjen. S.Parman Kav. 72", 1
"Jl. Raya Perjuangan Blok D-9", 1
"Mal Taman Anggrek, Jl. Letjen S. Parman Kav. 2", 1
"Komp. Prisma Kedoya Plaza Blok D No. 9, Jl. Raya Kebon Jeruk", 1
"Mall St. Moritz, Jl. Komplek Perum Puri Indah", 1
"Jl. Mangga Besar Raya No. 44 RT002/RW002", 1
"Jl. Letjen. S.Parman Kav. 28", 1
"Central Park, Jl. Letjen. S.Parman Kav. 28", 1
"Mal Taman Anggrek, Jl. Letjend S. Parman", 1
"Central Park, Jl. Letjend S. Parman", 1
"Mal Puri Indah, Jl. Puri Agung", 1
"Mal Taman Anggrek, Jl. Letjend. S. Parman", 1
"Central Park Mall Lt LG U L-211&L-257B, Jl. Letjen S. Parman Kav. 28, Slipi", 1
"Jl. Perjuangan Raya Kedoya Permai", 1
"Mal Ciputra Jl. Tanjung Duren Utara I", 1
"Jl. Pintu Besar Selatan No. 69", 1
"Jl. Hayam Wuruk  No. 45", 1
"Jl. Gajah Mada No. 37", 1
"Jl. Raya Pos Pengumben No. 118A", 1
"Jl. Hayam Wuruk No. 73", 1
"Perum. Green Garden Blok I 9/3-4, Jl. Panjang", 1
"Ruko Green Garden Blok I/9 No. 25", 1
"Jl. Puri Indah Blok 02 No.1-3", 1
"Mal Puri Indah, Jl. Puri Agung Raya Lt. II", 1
"Mal Ciputra, Jl. Arteri S.Parman", 1
"Plaza Slipi Jaya, Jl. Letjen.S.Parman Lt.1 Kav. 17", 1
"Taman Anggrek Mal, Jl. Letjen. S. Parman", 1
"Plaza Glodok, Jl. Pinangsia Raya No. 1", 1
"Jl. Taman Ratu Kemuning Blok. F1/01 A-B-C-D", 1
"Jl. Roa Malaka Utara No. 30", 1
"Jl. Daan Mogot No. 49 RT005/RW003", 1
"Jl. Hayam Wuruk No. 102", 1
"Jl. Gajah Mada No. 126", 1
"Jl. Puri Indah Raya Blok U1 Lt. 1-3", 1
"Puri X'tertainment, Jl. Puri Indah Raya Blok U1 Lt.", 1
"Jl. Letjen. S. Parman Kav. 21", 1
"Central Park, Jl. Letjen. S. Parman Kav. 28", 1
"Mal Taman Anggrek, Jl. Letjen. S. Parman Kav. 2", 1
"Mal Taman Anggrek, Jl. Letjen. S. Parman Kav. 2", 1
"Mal Puri Indah, Jl. Puri Agung Raya", 1
"Jl. Puri Agung Raya", 1
"Mal Taman Anggrek, Jl. Letjen. S.Parman", 1
"Jl. Kopi No. 18A RT005/RW001", 1
"Jl. Kopi No. 18A RT005/RW001", 1
"Komp. Mutiara Taman Palem, Jl. Lingkar Luar Barat Blok A ", 1
"Jl. Raya Panjang Blok. Z2/41-42", 1
"Jl. Mangga Besar I No. 34", 1
"Jl. Puri Indah Raya Blok A No. 1", 1
"THR. Lokasari Blok A/33-39, Jl. Mangga Besar", 1
"Komp. Lokasari, Jl. Mangga Besar A/33-39", 1
"Komp. Graha Mas, Jl. Raya Pejuangan Blok A", 1
"Jl. Raya Mangga Besar No. 2-F", 1
"Central Park, Jl. Letjen S. Parman", 1
"Gd. Season City Lt. 3, Jl. Latumenten No. 33", 1
"Central Park TGF 15, Jl. Letjen. S. Parman Kav. 2", 1
"Jl. Tanjung Duren I No. 360B", 1
"Jl. Pesanggrahan Raya No. 12A", 1
"Matahari Mal, Jl. Daan Mogot Km. 15.6", 1
"Mal Puri Indah, Jl. Puri Agung Raya Lt. 2 Unit 241", 1
"Jl. Mangga Besar Raya No. 85D", 1
"Central Park, Jl. Letjen. S. Parman", 1
"Seasons City, Jl. Prof. Dr. Latumenten No. 33", 1
"Mal Ciputra, Jl. Tanjung Duren Utara", 1
"Jl. Labu No. 10 RT002/RW006", 1
"Jl. Labu No. 10 RT002/RW006", 1
"Jl. Labu No. 1B dan 1C RT001/RW006", 1
"Central Park, Jl. Letjen S. Parman Kav. 28", 1
"Jl. Raya Arteri Kelapa Dua No. 29", 1
"Jl. Gajah Mada No. 147", 1
"THR Lokasari, Jl. Mangga Besar Raya No. 81", 1
"Jl. Mangga Besar I No. 61ML", 1
"Gd. Seasons City Lantai II Ubit A03&A07, Jl. Prof. Latumenten No. 33", 1
"Jl. Tanjung Duren Utara I", 1
"Central Park, Jl. Letjen. S. Parman Kav. 28", 1
"Puri Indah Mal, Jl. Puri Agung Raya", 1
"Jl. Tanjung Duren Utara I", 1
"Central Park, Jl. Letjen. S. Parman Kav. 28", 1
"Jl. Hayam Wuruk No. 108", 1
"Siloam Hospitals, Jl. Raya Pejuangan Kav. 8", 1
"Jl. Letjen. S.Parman", 1
"Mal Taman Anggrek, Jl. Letjen. S.Parman Kav. 2", 1
"Jl. Hayam Wuruk No. 126", 1
"Jl. Letjen. S.Parman Kav. 21", 1
"Komp. Ruko Sunrise Garden Blok X No. 5-7", 1
"Central Park, Jl. Letjend. S. Parman Kav. 28", 1
"Jl. Gajah Mada No. 126", 1
"RS. Harapan Kita, Jl. Letjen.S.Parman Kav. 87", 1
"Mal Taman Anggrek, Jl. Letjen S. Parman No. 21", 1
"Jl. Gajah Mada No. 91 RT006/RW006", 1
"Puri Indah Mall, Jl. Puri Agung Raya Lt. 2 No. 203", 1
"Central Park Lt. LG, Jl. Tanjung Duren Raya", 1
"Kedoya Center A - 3, Jl. Raya Pejuangan No. 1R", 1
"Jl. Pintu Besar Utara No. 14", 1
"Central Park, Jl. Letjen.S.Parman Kav. 28", 1
"Jl. Mangga Besar I No. 26", 1
"Jl. Ruko Puri Indah Blok.A No. 6", 1
"Jl. Puri Agung", 1
"Jl. Puri Agung", 1
"Mal Taman Anggrek, Jl. Letjen. S. Parman", 1
"Jl. Tomang Tol Raya No. 50", 1
"THR. Lokasari Blok C No. 1", 1
"Komp. Citraland Lt. V No. 14-16, Mal Ciputra", 1
"Taman Semanan Indah, Jl. Raya Duri Kosambi", 1
"Plaza Glodok, Jl. Pinangsia Raya", 1
"Season City, Jl. Jembatan Besi No. 33", 1
"Jl. Taman Stasiun Kota No. 1 RT006/RW006", 1
"Jl. Raya Gajah Mada No. 126", 1
"Jl. Tanjung Duren Raya No. 34", 1
"Jl. Raya Kebayoran Lama Pal 7 No. 24 Lt.3", 1
"Komp. Daan Mogot, Jl. Kintamani Raya, Jl. Tanah Lot ", 1
"Jl. Daan Mogot No. 163A", 1
"Jl. Lingkar Luar Barat RT001/RW002", 1
"Mal Puri Indah, Jl. Puri Agung", 1
"Jl. Tanjung Duren Raya No. 34", 1
"Jl. Kebon Jeruk Raya 8 RT006/RW012", 1
"Roxi Square, Jl. Kyai Tapa No. 1", 1
"Hypermart Puri Indah, Jl. Puri Indah Raya", 1
"Jl. Hayam Wuruk No. 103", 1
"Ciputra Mal, Jl.Tanjung Duren Raya", 1
"Ruko Taman Palem Lestari Blok D1 No. 18", 1
"Central Park Mall Ground Floor, Jl. Letjen.S. Parman", 1
"Mal Taman Anggrak, Jl. Letjend. S. Parman", 1
"Central Park, Jl. Tanjung Duren Raya Kav. 5 - 9", 1
"Puri Indah CBD, Jl. Puri Indah Raya Blok U1", 1
"Jl. Letjen. S. Parman Kav. 28", 1
"Mal Taman Anggrek, Jl. Letjen S. Parman", 1
"Jl. Letjen. S. Parman Kav. 28", 1
"Ruko Taman Palem Lestari D1 No. 19", 1
"Mal Central Park Lt. 3 Unit L3-121, Jl. Letjen. S.Parman", 1
"Central Park TGF Floor, Jl. Letjen. S. Parman ", 1
"Central Park, Jl. Letjen.S.Parman Kav. 28", 1
"Jl. Mangga Besar I No. 63", 1
"Jl. Panjang Arteri Kelapa Dua No. 29", 1
"Lotte Mart Taman Surya, Jl. Taman Surya V", 1
"Jl. Gajah Mada No. 188 Blok A1", 1
"Central Park Mall Lt. 8 Lot 3A, Jl. Letjend S. Parman", 1
"Mal Puri Indah, Jl. Puri Agung", 1
"Jl. Puri Agung", 1
"Apartemen Mediterania, Jl. Gajah Mada No. 174", 1
"Jl. Asemka Raya No. 168A", 1
"Central Park Mall, Jl. S. Parman Kav. 28", 1
"Jl. Gajah Mada Raya No. 174", 1
"Jl. Bandengan Selatan No. 14", 1
"Central Park-Podomoro City, Jl. Letjen. S.Parman", 1
"Puri Indah Mall  Lt. 2 # SF-240 A, Jl. Puri Agung", 1
"Jl. Letjen.S.Parman Kav. 17-18", 1
"Central Park, Jl. LetJend. S. Parman Kav. 28", 1
"Jl. Pesanggrahan No. 8", 1
"Jl. Panjang, Jl. Raya Arteri Kelapa Dua No. 6", 1
"Mal Daan Mogot, Jl. Daan Mogot KM. 16 RT001", 1
"Jl. Ruko Green Garden Blok I-9/1-2", 1
"Taman Alfa, Jl. Raya Joglo RT009/RW003", 1
"Citra Garden City, Komp. Perum Citra 6 Blok L.3", 1
"Jl. Daan Mogot", 1
"Komp. Perum Puri Indah, Jl. Puri Indah Raya ", 1
"Taman Alfa, Jl. Raya Joglo RT009/RW003", 1
"THR Lokasari Blok B/38 & 40", 1
"Mal Taman Anggrek, Jl. Letjen. S. Parman", 1
"Jl. Pesanggrahan No. 7 D.7 E RT011/RW003", 1
"Jl. Letjen. S. Parman Kav. 28 Unit L.259 LG Floor", 1
"Rukan Puri Niaga II Blok J. No. 2G", 1
"Jl. Pinangsia Raya No. 1-B", 1
"Lokasari Plaza Lt. IV, Jl. Mangga Besar Raya", 1
"Puri X'tertainment Pavilion St. Moritz, Jl. Puri Indah", 1
"Jl. Letjen. S.Parman Kav. 17 - 18", 1
"Jl. Letjen. S.Parman Kav. 17 - 18", 1
"Jl. Prof. Dr. Latumenten No. 33", 1
"Jl. Mangga Besar Raya No.40 RT002/RW002", 1
"Central Park, Jl. Tanjung Duren Raya No. 5-9", 1
"Plaza Slipi Jaya, Jl. Letjen.S.Parman Kav. 17-18", 1
"Jl. Puri Agung", 1
"Jl. Puri Kencana Blok M4 No. 1", 1
"Jl. Gajah Mada No. 126", 1
"Jl. Hayam Wuruk No. 72", 1
"Mal Taman Anggrek, Jl. Letjend. S. Parman", 1
"Jl. Letjen. S.Parman Kav. 28", 1
"Jl. Gajah Mada No. 126 LG No. 07", 1
"Jl. Raya Mangga Besar No. 38E", 1
"Ruko Permata Lokasari Blok B No. 1", 1
"Komp. THR Lokasari B/1-18 RT002/RW002", 1
"Jl. Mangga Besar Raya Blok C No. 1", 1
"Jl. Komplek Perum Puri Indah", 1
"Jl. Pesanggrahan Raya No. 2 RT001/RW009", 1
"Jl. Letjen. S. Parman", 1
"Jl. Bedugul Blok I A No. 3A - 5A", 1
"Jl. Mangga Besar Raya No. 64B", 1
"Jl. Mangga Besar Raya No. 64B", 1
"Jl. Kali Besar Barat No. 22", 1
"Jl. Labu I- 1J RT001/RW006", 1
"Mal Puri Indah GF No. 25-26, Jl. Puri Agung", 1
"Jl. Letjen. S. Parman Kav. 21", 1
"Jl. Panjang Arteri No. 26, Kedoya Utara", 1
"Mal Central Park, Jl. Letjend S. Parman Kav. 28L", 1
"Mal Central Park, Jl. Letjend S. Parman Kav. 28L", 1
"Apartemen Royal Mediterania Garden Residences, Jl. Tanjung Duren Raya, Grogol Petamburan", 1
"Central Park, Jl. Letjen. S. Parman Kav. 28", 1
"Mal Taman Anggrek, Jl. Letjen.S.Parman Kav. 21", 1
"Central Park Lt. LG U L-139 & L-140, Jl. Letjen. S. Parman ", 1
"Mall Puri Indah Lt. 1 Unit 102, Jl. Puri Agung Raya", 1
"Kedoya Centre Blok A, Jl. Raya Perjuangan No. 1", 1
"Jl. Letjen. S.Parman Kav. 21", 1
"Jl. Kamboja No. 18 RT010/RW001", 1
"Jl. Pinangsia II No. 14-16", 1
"Central Park, Jl. Letjen S. Parman Kav. 28", 1
"Mal Taman Anggrek, Jl. Letjen.S.Parman Kav. 21", 1
"Mal Ciputra, Jl. Letjen S. Parman", 1
"Mall Taman Anggrek, Jl. Letjen.S. Parman Kav.21", 1
"Mall Puri Indah Lt. 2 Unit 220, Jl. Puri Agung Raya", 1
"Central Park Mall Lt. LG Unit L-236, Jl. Letjen. S. Parman", 1
"Central Park, Jl. Letjen S. Parman Kav. 28 Lt. LG", 1
"PX Pavillion St.Moritz, Jl. Puri Indah Boulevard Bl", 1
"Puri Indah Mall, Jl. Puri Agung", 1
"Central Park Mall GF, Jl. Letjen.S.Parman", 1
"Jl. Arteri. S.Parman LG2", 1
"Mal Puri Indah, Jl. Puri Indah Raya Lt. I/101", 1
"Plaza Slipi Jaya, Jl. Letjend. S. Parman Kav. 17-1", 1
"Menara Jayakarta, Jl. Hayam Wuruk No. 126", 1
"Jl. Kemanggisan Raya No. 4 RT011/RW005", 1
"Taman Ratu Indah Blok. AA-2/35", 1
"Taman Ratu Indah Blok. AA-2/35", 1
"Mal Daan Mogot, Jl. Daan Mogot Km 15.6", 1
"Mal Ciputra, Jl. Arteri S. Parman", 1
"Mal Taman Anggrek, Jl. Letjend. S. Parman", 1
"Perum Citra Garden  2 Blok J2 No. 1-2", 1
"Citra Garden City, Ruko Citra 6 Blok L1-A", 1
"Komp. Rukan Citra Niaga No. 50, Jl. Utan Jati ", 1
"Ruko Green Garden Blok I.9 No. 6", 1
"Podomoro City Lt. Dasar Clemont No. 9AP, Jl. Letjen. S. Parman", 1
"Jl. Mangga Besar Raya No. 63", 1
"Ruko Duta Mas A-3/25 RT002/RW012", 1
"Jl. Pos Pengumben Raya No. 188A", 1
"Jl. Pos Pengumben Raya No. 188A", 1
"Mal Ciputra, Jl. Letjen. S. Parman", 1
"Mal Puri Indah Lt. II, Jl. Puri Indah Raya", 1
"Jl. Daan Mogot No. 111", 1
"Jl. Letjen. S.Parman Kav. 21", 1
"Jl. Letjen. S.Parman Kav. 21", 1
"Jl. Pesanggrahan No. 6", 1
"Jl. Pesanggrahan No. 6", 1
"Mall Taman Anggrek Lt. 4, Jl. Letjen. S. Parman", 1
"Mall Taman Anggrek Lt. 6, Jl. Letjen. S. Parman", 1
"Jl. Mangga Besar Raya No. 65", 1
"Jl. Puri Indah Raya Blok A No. 1-9", 1
"Jl. Pesanggrahan No. 70 RT011/RW003", 1
"Jl. Sukarjo Wiryo Pranoto No. 69A", 1
"Jl. Roa Malaka Utara No. 49", 1
"Jl. Puri Agung Raya", 1
"Jl. Arteri S. Parman", 1
"Jl. Raya Pesanggrahan No. 168N", 1
"Jl. Letjen. S.Parman", 1
"Jl. Puri Indah Raya Blok U.1", 1
"Jl. Lapangan Bola No. 34B", 1
"Jl. Panjang Arteri No. 18", 1
"Jl. Letjend. S. Parman Kav. 28 Lt.3", 1
"Jl. Mangga Besar IX No. 83-85", 1
"Central Park, Jl. Letjen S.Parman Kav. 92", 1
"Jl. Tanjung Duren Utara I", 1
"Jl. Tanjung Duren Utara I", 1
"Jl. Letjend S. Parman Kav. 17-18", 1
"Jl. Prof. Dr. Latumenten No. 33", 1
"The Bale Unit G, Jl. Kintamani RT001/RW017", 1
"Mal Central Park LG Unit 210, Jl. Letjen. S. Parman", 1
"Lippo Mall Puri Unit LG.71, Jl. Puri Indah Raya Bl", 1
"Graha Indramas, Jl. Aipda. KS. Tubun Raya No. 7", 1
"Commercial Area Green Central City Lt. Dasar U", 1
"Jl. Daan Mogot No. 121  RT003/RW005", 1
"Jl. Puri Agung Raya", 1
"Mal Taman Anggrek, Jl. Jend. S. Parman Kav. 21", 1
"Jl. Hayam Wuruk No. 101", 1
"Jl. AIPDA KS. Tubun Raya No. 2 RT001/RW005", 1
"Jl. AIPDA KS. Tubun Raya No. 2 RT001/RW005", 1
"Jl. Hayam Wuruk No. 82", 1
"Ruko Puri Indah, Jl. Puri Kembangan", 1
"Jl. Tomang Raya No. 44", 1
"Central Park, Jl. Letjen.S.Parman Kav. 28", 1
"Mall Puri Indah Lt.II, Jl. Puri Agung Raya", 1
"Lippo Mal Puri Lt. 1 Unit GF-68&69 @ The St. Morizt", 1
"Jl. Tanjung Duren Raya No. 5-9, Jl. Letjen. S.Parman", 1
"Central Park, Jl.Tanjung Duren Raya No. 5-9, Jl. Letjen. S Parman", 1
"Jl. Joglo Raya No. 28A", 1
" Arteri Kelapa Dua, Jl. Raya Panjang No. 18", 1
"Jl. Raya Kemanggisan No. 20", 1
"Arteri Kelapa Dua, Jl. Raya Panjang No. 18", 1
"Perum Citra Garden 6 H I.A/20-21 RT011/RW015", 1
"Jl. Bandengan Utara No. 1 Blok 3-5", 1
"Jl. Tanjung Duren Raya No. 1 RT001/RW005", 1
"Puri Indah Mall, Jl. Puri Agung", 1
"Central Park, Jl. Letjen S. Parman Kav. 28", 1
"Central Park, Jl. Letjen. S.Parman Kav. 28", 1
"Central Park, Jl. Letjen. S.Parman Kav. 28", 1
"Mal Taman Anggrek, Jl. Jend. S. Parman", 1
"Mal Puri Indah, Jl. Puri Agung Raya Lt. 2 No. 240", 1
"Centrla Park Lt. I Unit L1-113 A, Jl. Tanjung Duren", 1
"Jl.Mangga Dua Raya No. 32 RT003/RW002", 1
"Jl. Komplek Green Garden Blok Z 2/32", 1
"Jl. Pancoran No. 64", 1
"Jl. Pintu Besar Selatan No. 29", 1
"Jl. Pancoran No. 64", 1
"Gajah Mada Residence, Jl. Gajah Mada No. 174", 1
"Jl. Mangga Besar Raya No. 65 RT001/RW002", 1
"Taman Duta Mas Blok A3 No. 52, Jl. Tubagus Angke", 1
"Taman Duta Mas Blok A3 No. 52", 1
"Jl. K. S. Tubun Raya No. 2A", 1
"Apartemen Mediterania Gajah Mada, Jl. Gajah Mada ", 1
"Jl. Hayam Wuruk No.125E", 1
"Ciputra Mal, Jl. Letjend. S. Parman", 1
"Jl. Letjend. S. Parman Kav. 21", 1
"Jl. Daan Mogot RT008/RW004", 1
"Central Park, Jl. Letjen.S.Parman Kav. 28", 1
"Lokasari Square, Jl. Mangga Dua Raya No. 81", 1
"Jl. Mangga Dua Raya No. 81", 1
"Taman Palem, Jl. Lingkar Luar Barat", 1
"Central Park, Jl. Tanjung Duren Raya Kav. 5-9", 1
"Seasons City, Jl. Prof. Dr. Latumenten No. 33", 1
"Central Park Mall, Jl. Letjend. S. Parman Kav. 28", 1
"Jl. Puri Indah Raya Blok U1", 1
"Hotel Jayakarta, Jl. Labu No. 1", 1
"Jl. Hayam Wuruk No. 111 HH/JJ", 1
"Mal Taman Anggrek, Jl. Letjend. S. Parman", 1
"Central Park 3 L1-133 Lt.1, Jl. Letjen. S. Parman", 1
"Mall Ciputra, Jl. Arteri S. Parman Lt. UG Unit 17 A", 1
"Ranch Pesanggrahan, Jl. Pesanggrahan Raya", 1
"Mall Puri Indah, Jl. Puri Agung Pintu Barat", 1
"Siloam Kebon Jeruk, Jl. Raya Perjuangan Kav. 8", 1
"Hayam Wuruk Plaza, Jl. Hayam Wuruk No. 108", 1
"Jl. Tomang Raya No. 35", 1
"Jl. Stasiun Kota No. 1", 1
"Jl. Letjen. S.Parman Kav. 28", 1
"Jl. Letjen. S.Parman Kav. 28", 1
"Jl. Letjen. S.Parman Kav. 28", 1
"Jl. Letjen.S.Parman Kav. 28", 1
"Jl. Arteri S. Parman Lt. UG Unit 17 A", 1
"Jl. Letjen. S. Parman Lt. 5", 1
"ST. Moritz Mall Lt. LG Unit No. LG-16, Jl. Puri Indah", 1
"Lindeteves Trade Center, Jl. Hayam Wuruk No. 1", 1
"Mal Puri Indah, Jl. Puri Agung", 1
"Jl. Pesanggrahan No. 10G", 1
"Jl. Pesanggrahan No. 10G", 1
"Puri Indah Mal, Jl. Puri Agung, Puri Indah Unit 38", 1
"Mal Ciputra, Jl. Arteri S. Parman", 1
"Jl. Kebon Jeruk Raya No. 1 RT004/RW006", 1
"Jl. Letjen. S.Parman Kav. 28", 1
"Central Park, Jl. Letjen S Parman Kav. 28", 1
"Mal Taman Anggrek, Jl. Jend. S. Parman", 1
"Jl. Raya Meruya Ilir No. 21B", 1
"Jl. Panjang Green Garden Blok Z.2 No. 20-21", 1
"Jl. Tanjung Duren Utara I", 1
"Jl. Gajah Mada", 1
"Jl. Lingkar Luar Barat RT014/RW004", 1
"Jl. Puri Agung Raya", 1
"Mall Taman Anggrek Lt. 4 Ruang A03B, Jl. Letjen. S. Parman Kav. 21, Slipi", 1
"Plaza Slipi Jaya, Jl. Jend. S. Parman Kav. 17-18", 1
"Jl. Jend. S. Parman Kav.17-18", 1
"Mall Taman Anggrek, Jl. Letjen. S. Parman", 1
"Jl. Letjen. S.Parman", 1
"Jl. Daan Mogot No. 34", 1
"Jl. Mangga Besar Raya No. 81", 1
"Jl. Mangga Besar Raya No. 81", 1
"Central Park Shop Unit No. L1-114 L1-11 & L1-1", 1
"Puri Indah Mall Lt. 2 Unit E-202, Jl. Puri Agung Raya", 1
"St. Moritz Mall Lantai Dasar Unit GF-98, Komp. Puri Indah, Kembangan", 1
"Taman Kedoya Permai, Jl. Perjuangan Raya", 1
"Ruko Puri Kencana Blok LG No. 88  E - F", 1
"Central Park, Jl. Letjen S. Parman Kav. 28", 1
"Ruko Grand Puri Niaga Komp. Puri Kencana", 1
"Seasons City Unit Kios SH/F/04, Jl. Latumeten ", 1
"PX Pavilion @ The St. Moritz, Jl. Puri Indah Raya", 1
"Hotel Novotel Gajah Mada, Jl. Gajah Mada No. 18", 1
"Jl. Mangga Besar No. 19", 1
"Central Park, Jl. Letjen S. Parman Kav. 28", 1
"Jl. Tanjung Duren Raya No. 59", 1
"Mal Puri Indah, Jl. Puri Indah Raya Blok.U.1", 1
"Jl. Labu No. 5", 1
"Lippo Mal Puri @The St. Moritz Unit G-99 GF, Jl. Puri Indah Raya", 1
"Central Park LG - 156, Jl. Letjen. S. Parman", 1
"Hypermart Puri Indah, Jl. Puri Indah Raya", 1
"City Resort Residence Tower Bougenville Lt. D/0", 1
"Jl. Letjen. S.Parman Kav. 21", 1
"Jl. Letjen.S.Parman Kav. 21", 1
"Jl. Mangga Besar IX/Pecah Kulit Blok E1,E2,E3", 1
"Jl. Mangga Besar IX/Pecah Kulit Blok E1,E2,E3", 1
"Jl. Letjen. S.Parman Kav. 28, Podomoro City", 1
"Jl. Letjen. S.Parman Kav.28, Podomoro City", 1
"Jl. Letjen. S.Parman Kav.21", 1
"Jl. Puri Indah Raya Blok U.1", 1
"Central Park, Jl. Tanjung Duren Raya No. 5-9", 1
"Jl. Pesanggrahan Raya Teknologi II No. 7 D.E", 1
"Central Park, Jl. Letjend. S. Parman Kav. 28", 1
"Jl. Gajah Mada 174 Blok TU C-08", 1
"Jl. Arteri S. Parman", 1
"Jl. Tomang Raya No. 7", 1
"Jl. Tomang Raya No. 7", 1
"Jl. Lingkar Barat", 1
"Jl. Taman Hiburan Rakyat Lokasari Blok A No. 2", 1
"Komp. Green Garden, Jl. Daan Mogot  Blok Z-2 N", 1
"Jl. Puri Agung Raya", 1
"Jl. Letjen. S. Parman Kav. 21", 1
"Mal Ciputra Lt. P1, Jl. Arteri Letjen. S.Parman", 1
"Mal taman Anggrek, Jl. Letjen S. Parman Kav. 21", 1
"Jl. Arteri Letjen. S.Parman", 1
"Jl. Mangga Besar Raya No. 25A", 1
"Jl. Mangga Besar Raya", 1
"Jl. MH. Thamrin No. 11, Sarinah", 1
"Jl. KH. Wahid Hasyim 127 RT016/RW001", 1
"Jl. H. Agus Salim No. 16 RT002/RW001", 1
"Jl. RP. Soeroso No. 48", 1
"Jl. KH. Wahid Hasyim No. 59", 1
"Mal Mangga Dua, Jl. Mangga Dua Raya RT008", 1
"Pasar Regional Tanah Abang Blok A Lt. 8", 1
"Jl. Ir. H. Juanda Raya No. 31", 1
"Jl. Hayam Wuruk No. 15", 1
"ITC Cempaka Mas, Jl. Letjend. Suprapto", 1
"Golden Trully, Jl. Gunung Sahari No. 59", 1
"Jl. MH. Thamrin Kav. 28-30", 1
"Jl. Mangga Besar Raya No. 138", 1
"Jl. Mangga Dua Raya RT008/RW006", 1
"Atrium Plaza, Jl. Senen Raya No. 135", 1
"TB. Gunung Agung Kwitang, Jl. Kwitang Raya", 1
"Carrefour Cempaka Putih, Jl. Jend. A. Yani No. 8", 1
"Jl. KH. Hasyim Ashari No. 125", 1
"Hotel Le Meredien, Jl. Jend. Sudirman Kav. 18-20", 1
"Jl. Jaksa No. 5A", 1
"Jl. K.H.Wahid Hasyim No. 120", 1
"Jl. Percetakan Negara No. 640C", 1
"Jl. AM. Sangaji No. 27", 1
"Gd. Sarinah Lt II, Jl. MH. Thamrin No.11", 1
"Mid Plaza, Jl. Jend. Sudirman Kav. 10-11", 1
"Hotel Golden Boutique, Jl. Angkasa No. 1", 1
